,POSITIVE,NEGATIVE
flag,16,2
kay,1,0
adam,84,32
outsider,17,3
uncertain,16,2
expectation,194,11
captivated,8,0
unlike,139,15
imitator,11,2
handbook,3,2
lucidity,3,0
softspoken,4,0
crimelord,1,0
threepart,4,0
italianamerican,2,1
trilogy,225,7
filmic,19,2
music,286,30
forge,12,0
measure,83,3
signed,7,2
direct,49,12
central,129,10
incredibly,170,12
gripping,235,3
unforgettable,167,1
endlessly,45,5
quotable,16,0
casablanca,46,1
heartwrenching,25,0
inspiring,117,5
integrity,30,5
patriotism,6,0
enjoyed,95,3
rick,8,0
ilsa,9,0
laszlo,2,0
letter,79,4
transit,4,1
captain,21,1
renault,3,0
charming,296,16
corruptibility,2,0
routine,33,21
round,44,7
accolade,18,1
bogart,59,0
bergman,40,2
undeniable,57,6
chemistry,97,16
axis,2,0
rear,36,1
seeking,17,5
shout,11,4
grow,59,8
louder,12,4
remind,61,4
happens,116,23
jaded,13,3
arm,26,3
present,228,20
“,278,23
”,282,23
utilizes,3,0
touch,327,22
realization,25,2
wartime,18,0
middle,108,3
romance,291,20
starry,2,0
pictorially,2,1
lovely,166,8
considerable,54,7
curtiz,8,0
appealingly,8,1
schlocky,1,4
romanticism,21,1
pressed,10,5
melodramatic,37,7
seriously,93,36
transported,8,0
sophisticated,107,5
advantage,29,2
think,512,114
fascinate,7,0
beyond,282,46
explanation,17,3
except,56,28
resolve,17,0
encompass,3,0
fantastical,34,0
notion,60,8
magic,231,17
ineffectual,3,1
collier,2,0
short,226,62
veidt,2,0
humphrey,25,0
sort,178,67
issue,143,19
presentation,34,3
tortuous,5,0
desperatelydesired,1,0
gained,8,0
admirably,23,1
topical,27,1
yesterday,13,1
instead,199,90
six,38,5
month,41,4
packed,110,3
effortlessly,82,2
delivered,97,10
phenomenal,54,0
dooley,2,0
wilson,3,1
piano,8,1
player,85,13
walk,66,15
thin,37,25
cheesy,22,30
stay,140,28
course,149,31
easily,343,29
steered,6,0
stayed,9,2
decisively,5,0
outweighs,9,0
flawed,77,11
screenwriter,86,25
koch,1,0
lived,53,2
pledge,1,0
develop,20,8
melodrama,154,20
presentday,13,1
significance,28,4
pairing,18,1
bogie,5,0
excitingly,7,1
smartly,40,0
crammed,14,4
fill,72,10
theatre,67,13
alone,122,59
includes,36,7
finest,314,4
boast,62,9
pocketed,1,0
warner,23,3
generous,50,1
fitting,96,2
become,313,37
gem,113,1
incisive,27,1
handling,32,5
claude,3,0
rain,50,5
sidney,28,0
greenstreet,5,0
lorre,14,0
z,3,3
sakall,1,0
joy,319,5
page,68,6
french,137,11
sympathy,28,5
jibe,4,1
uniform,3,0
allegiance,3,2
nazi,20,2
rule,83,13
anyway,33,5
slightly,92,19
drop,45,10
incidentally,6,0
provides,143,14
acehigh,1,0
wouldnt,74,28
particular,86,12
instance,28,3
compels,2,1
nomination,59,1
academy,79,5
prize,19,4
sureness,4,0
ere,1,0
questioned,6,0
handle,46,9
given,244,36
exotic,26,3
flow,61,4
constantly,74,8
brisk,35,1
adventure,642,47
handled,37,4
apparently,32,20
say,535,133
liked,61,7
working,149,19
rather,342,77
obviously,51,24
improvement,30,7
worst,65,202
obvious,111,42
unfolded,4,0
gallantry,2,0
visualization,6,1
reserve,10,1
firstclass,16,0
throughout,211,26
lesser,28,4
allied,1,0
occupation,16,0
possibility,85,4
least,259,97
reasonable,6,2
percentage,4,0
fastmoving,21,1
german,37,3
plenty,222,20
dramatic,267,24
spot,79,12
individual,94,10
real,707,101
careful,32,0
opulence,3,0
redound,1,0
credit,189,37
hal,10,0
wallis,2,0
henreid,2,0
deserve,58,23
share,76,10
praise,73,6
award,138,10
busy,28,16
perfunctory,5,5
dim,9,4
message,340,27
escape,81,10
however,178,38
mechanic,20,4
unfold,26,3
tempo,15,3
slackening,1,0
quota,4,0
skilful,9,0
fair,60,4
comedy,1184,302
bargain,9,2
ingrid,5,0
poignantly,14,0
dramatically,28,11
beautiful,695,24
quietly,74,1
conrad,2,0
today,325,14
stirring,73,1
front,109,12
north,34,0
africa,1,0
striking,83,2
danger,79,10
suspenseladen,2,0
event,197,26
fascination,28,8
timely,98,5
topic,30,1
certainly,329,34
appeal,166,22
remake,68,78
debuted,4,0
1943,4,0
awaken,1,0
apathetic,1,0
threat,23,3
chinese,16,3
communist,2,0
party,40,15
hellbent,3,1
dominationsomebody,1,0
hurry,5,2
discover,36,3
iconic,116,7
wasted,29,22
overdone,5,2
overlong,51,15
absolutely,243,42
suave,7,0
pure,285,20
winethe,1,0
better,786,163
capably,10,1
warmth,101,6
memory,257,25
picturegoer,1,0
patron,8,1
interested,60,10
week,36,12
pinned,8,0
faith,55,9
upon,172,23
derives,17,1
strength,171,4
clash,33,2
interplay,20,0
curtizs,3,0
disciplined,9,0
produced,108,10
mature,117,2
intelligently,16,0
conceived,44,7
honest,147,7
punctuate,4,1
cafe,6,0
group,61,11
free,69,15
drown,4,2
voice,197,14
singing,32,5
marseillaise,2,0
opening,129,20
chaos,46,3
conveyed,9,0
indisputable,8,1
peak,56,2
industry,66,9
gunplay,4,3
indeed,132,22
adequate,9,5
sensitive,64,2
stride,15,1
bulging,5,0
breathless,101,1
momentum,50,7
support,42,8
camera,220,35
actionful,2,0
defies,36,2
categorization,2,0
spy,66,20
laced,28,3
bracing,33,0
future,197,21
resolute,5,1
peace,19,1
resistance,25,1
accomplished,130,7
inspired,155,14
precision,69,4
fabergé,1,0
hauntingly,13,0
magnetic,33,0
knowing,83,4
impair,1,0
undiminished,11,0
frankly,29,11
colorful,102,6
cosmopolitan,1,0
important,317,17
timetable,3,0
european,26,3
refugee,4,1
muster,15,9
studded,1,0
indecent,2,0
sparklingly,1,0
nobody,49,17
torch,7,0
carry,120,9
endures,14,0
wrapped,40,4
inside,270,24
wit,282,35
misquoted,1,0
sexual,58,9
derive,6,0
sure,323,53
fadeout,7,1
sociable,1,0
companionable,1,0
endless,57,21
return,268,17
fix,9,5
guilty,17,14
water,131,24
therell,1,1
didnt,155,61
notice,45,12
undying,4,0
factory,15,2
fashioning,1,1
hardened,5,0
cynic,14,0
impelled,1,0
dismiss,13,1
collection,38,18
buttonpushing,3,0
clichés,36,15
likely,192,33
swept,35,2
unabashed,17,2
although,228,43
1942,9,0
cling,7,1
urgent,37,1
peculiar,21,5
pace,168,17
unnoticed,3,1
product,62,25
numerous,24,4
accident,11,4
happy,150,13
instinct,38,5
appealed,3,0
whenever,25,4
expected,92,19
bitter,42,5
operator,4,1
joint,20,2
lover,82,5
assignment,11,1
tornbetweenloveandduty,1,0
actress,104,21
motivation,28,4
digitally,7,0
restored,35,1
legal,19,1
heartbreaking,146,1
swisswatch,3,0
bighearted,13,0
rightly,19,2
sign,47,12
diminishing,9,4
dead,242,70
patch,11,3
political,262,15
commitment,50,5
fondly,7,2
remembered,78,5
evocation,33,0
sentiment,66,9
appeared,12,4
unified,5,0
screened,5,3
blaine,1,0
lund,4,0
filmed,74,9
propagandist,3,0
subtexts,6,1
reluctantly,5,0
martial,31,7
stumbling,5,1
cult,38,11
younger,52,5
obtains,2,0
casablance,1,0
oscar,338,18
influenced,16,1
intervention,6,4
wwii,12,1
kissed,1,2
confluence,8,0
collaborating,1,2
potential,89,39
cascading,2,1
entropy,1,0
eternal,63,6
pain,95,11
improves,21,2
yes,183,28
spine,7,0
tingle,3,0
leap,59,5
defines,28,5
favorite,158,11
exalt,3,0
sorry,23,15
flat,28,37
accidental,6,2
desert,28,3
island,21,3
jump,55,14
mounted,26,2
african,16,0
location,70,4
charm,323,42
cause,61,10
merit,41,3
inclusion,13,1
selfrespecting,6,1
purpose,93,16
invented,8,4
crisp,41,2
firstrate,57,6
curled,2,0
warm,194,6
blanket,12,1
cup,8,6
tea,10,4
cuddly,6,0
dog,68,26
muchloved,3,0
topten,2,0
seeing,217,26
grows,58,11
overfamiliar,4,2
musical,228,14
album,11,3
pragmatic,5,0
darkly,56,1
humorous,74,2
essay,50,7
condition,48,2
note,143,13
reverberates,5,0
renaults,1,0
semivulnerable,1,0
choice,112,25
spend,52,12
extolling,1,2
divine,12,3
inspiration,73,11
flawlessly,32,1
subtly,37,0
lovingly,42,0
evoking,18,1
versus,28,1
musthave,2,0
dvd,27,12
hamlet,5,1
either,123,46
familiar,247,27
seven,58,8
samurai,45,1
kurosawa,125,5
prowess,22,0
evident,30,3
cemented,11,0
status,85,6
echoing,5,0
feudal,2,0
japan,28,4
akira,29,1
entire,212,33
foray,18,4
mark,179,19
pertinent,12,0
coalesce,9,2
threeandahalfhour,1,0
deliberate,19,4
started,40,17
battle,222,24
joined,8,1
fury,158,8
ranking,9,1
dull,60,80
model,49,9
ways—from,1,0
team,162,20
fighter,21,2
protopeckinpah,1,0
use,196,32
slowmotion,2,5
spectacle,279,26
hope,343,44
converge,5,1
glorious,123,3
vigour,3,0
presented,71,3
theatrical,49,13
flair,45,5
flash,49,10
sword,17,1
tremendous,98,2
resourcefulness,3,0
excellency,3,0
unknown,44,3
building,94,1
realism,118,8
countryside,7,0
pyramid,3,0
trap,18,4
anticipated,17,1
marauder,1,1
keystone,3,1
marvelous,90,1
feature,521,58
angle,52,9
rate,42,5
unqualified,12,0
whoop,6,2
approval,9,2
western,288,24
sport,119,20
21,13,1
intimately,14,0
prepared,30,2
soldier,46,1
loses,46,14
responding,2,0
revealed,30,0
putting,49,7
terrifically,41,0
sturdy,13,0
rashomon,15,2
development,75,26
earlier,78,14
depends,21,4
basic,76,32
truth,222,19
forged,10,2
suffering,31,6
buried,19,4
spearpoint,1,0
spectator,27,5
image,217,21
chivalry,4,0
exceedingly,29,3
winning,112,7
japanese,58,5
craftsmanship,56,2
visually,266,16
impression,49,11
formal,23,2
accuracy,11,1
create,200,21
startling,65,3
pictorial,12,1
takashi,2,2
shimura,4,0
stage,85,16
toshiro,9,0
mifune,10,0
bandit,3,0
blustering,1,0
bragging,1,1
comical,19,1
warrior,38,2
figure,204,37
kambei,2,0
bestriding,1,0
colossus,2,0
search,41,9
villager,2,0
receive,16,0
ensuing,9,1
attack,32,4
compellingly,12,2
projected,7,1
skilled,20,2
conflict,82,10
peasant,4,0
farmer,2,0
demon,22,7
kidnapped,5,2
wife,43,3
minor,73,8
picked,5,0
trick,85,14
granddaddy,5,0
slomo,3,2
incessant,4,3
movement,99,6
tsunami,1,1
swarm,4,0
attacker,1,0
motion,173,22
shoulder,43,3
foreign,44,6
shown,52,9
locally,1,0
splendid,69,1
delineation,3,0
proud,46,7
told,233,22
wealth,32,0
wise,69,4
older,55,4
shamada,1,0
grounding,6,0
fairly,63,15
chaotic,35,6
needed,110,21
heavy,101,16
sensibility,80,8
buildup,13,4
approached,11,4
near,117,20
realized,91,11
expertly,104,2
raised,36,0
provoking,25,0
entertained,57,8
rewatch,10,0
owes,18,2
boldness,12,1
confidence,51,6
trust,51,6
weve,177,16
committed,48,4
barbaric,3,0
maintaining,18,3
technical,191,20
artistic,111,12
brilliance,111,9
exhaustion,6,2
prohibits,1,0
wholehearted,2,0
admiration,24,1
prefer,13,2
kinetic,51,0
sizzling,12,2
deflates,2,0
noble,23,5
debunking,3,0
famous,52,8
subtitle,9,2
synthesizes,2,0
tradition,98,4
felt,170,29
groundlevel,4,0
consequence,46,7
bluray,54,0
intention,37,15
eat,20,8
brought,112,10
mifunes,3,0
watchable,38,16
sends,41,3
sensuous,10,0
physical,98,8
suffers,17,18
threatens,17,2
negate,2,0
overtly,13,2
positive,55,8
attribute,6,2
1954,11,0
veritable,10,3
textbook,20,6
shoot,33,14
frame,178,11
sergio,37,1
leone,73,4
arthur,17,0
penn,82,1
sam,39,1
peckinpah,7,0
mann,12,1
owe,7,0
debut,173,16
longform,3,0
construction,32,5
ably,19,1
aside,94,19
structure,94,15
208,1,0
besides,27,9
wellmanned,1,0
battlescenes,1,0
pic,25,20
jidaigeki,1,0
counted,6,3
majestic,40,0
heroism,51,3
suck,19,53
pissed,4,0
swap,9,1
disc,3,0
intermission,2,1
cross,41,11
lovable,46,3
trashy,4,7
cavalry,2,0
swordsman,3,0
band,38,9
rescue,20,7
besieged,2,0
ambitious,179,9
overwrought,13,10
patiencetesting,1,1
caveat,5,0
length,52,16
language,114,8
barrier,20,0
difficult,164,24
loaded,41,3
unusual,71,3
incident,30,6
realistic,127,6
endure,23,7
die,65,17
usually,65,17
answer,102,21
clearly,143,31
aweinspiring,37,3
rollicking,38,1
specific,67,7
universal,153,7
resonance,68,6
archetypal,15,2
mercury,4,0
thick,18,5
spielberg,249,14
lucas,74,13
lower,8,1
hidden,132,15
fortress,3,0
prototype,9,0
reinvented,14,0
vivid,100,2
leisurely,17,1
exposition,31,14
207minute,1,0
cruelty,39,5
source,96,15
convulsive,1,0
crams,6,0
portable,1,0
widely,18,6
acknowledged,8,2
unsurpassed,11,0
triumph,264,7
bona,19,0
fide,17,0
regular,21,2
combination,135,5
unequaled,2,0
waitingaround,2,0
tiresome,2,11
parasite,194,3
2019,57,0
struggling,27,5
survive,32,9
unfair,8,2
system,69,8
sadistic,15,6
angry,41,7
live,189,28
south,67,3
korea,14,1
wrap,34,0
illinois,1,0
state,102,10
editing…,1,0
placed,21,2
shame,53,20
radically,9,1
joker,30,2
expressed,11,3
social,398,23
criticism,25,5
pointed,24,2
explicitly,4,1
showing,85,11
economic,24,1
inequality,18,0
poor,32,32
alike,77,1
bong,143,5
joon,24,0
ho,26,1
manysided,2,0
satire,260,25
cunning,16,2
resourceful,11,1
commentary,137,14
relevance,31,2
nation,129,10
tiny,32,4
underline,6,1
inherent,30,3
horror,641,140
concur,1,0
genredefying,3,0
essence,75,6
happened,67,13
shutdown,1,0
examination,68,0
empathy,65,1
becoming,63,6
host,23,4
clinging,7,0
dear,17,4
conclusion,165,13
socialstudy,1,0
belongs,63,8
lab,3,2
lesson,141,16
transcend,25,3
became,47,5
delicious,76,2
jolt,25,7
heartfelt,219,2
throat,33,1
expecting,31,9
engaged,34,1
guessing,35,3
joonho,38,0
warfare,24,1
depending,17,0
selfindulgent,12,4
joonhos,23,0
wryly,2,0
scripted,27,9
portrait,330,13
contemporary,178,13
rage,50,6
aided,23,2
satirical,68,2
culturally,19,1
relevant,144,2
resonant,62,3
knockout,45,2
tragicomedy,14,0
layer,79,6
signature,36,1
tonal,35,1
playfulness,16,0
furious,48,5
fatalistic,7,0
poignant,206,3
bittersweet,106,1
episode,89,25
52,1,0
jojo,1,0
rabbit,14,3
lighthouse,1,0
twistladen,1,0
shapeshifts,1,0
liquid,5,2
sky,28,7
knocked,15,0
park,118,7
bonkers,25,2
radical,38,3
dropdead,5,1
mock,8,6
egalitarian,1,0
weirdness,14,0
kijung,1,0
sodam,2,0
horrifyingly,6,0
fantastically,26,2
fooling,3,0
considered,75,10
genreless,1,0
masterful,163,2
help,232,29
leave,337,27
awe,62,5
providing,43,4
entertain,66,3
meaningful,50,10
ill,73,31
insincere,1,1
hypocritical,0,5
genuinely,173,18
injustice,27,1
boon,2,0
unfolds,41,2
deftly,71,0
calibrating,1,0
screwball,68,3
farce,56,19
nimbly,8,0
balancing,44,0
content,123,20
premise,122,59
punishment,11,1
step,147,10
eventually,59,15
corkscrewing,1,0
tangent,3,0
precisely,55,5
controlled,30,0
drolly,1,0
berserk,4,0
foremost,20,0
respective,7,0
completely,224,53
seriocomic,7,0
galvanizing,8,0
shocked,11,4
questioning,12,1
gap,22,6
understanding,92,9
precariousness,2,0
urban,57,5
underclass,6,0
climate,22,1
korean,35,0
filmographies,2,0
small,249,16
impossible,481,42
categorise,1,0
allegory,53,2
antenna,3,0
attuned,21,1
classbong,1,0
emerged,16,2
globally,1,0
significant,77,3
saw,68,18
crowdpleaser,95,0
manages,341,27
marvelously,27,0
depressing,31,12
hit,358,48
roll,74,7
unraveled,3,0
steadily,8,2
complicity,6,1
yanking,3,1
rug,11,0
lighthearted,27,1
intertwines,5,0
slapstick,91,22
tense,159,3
artful,49,1
fallout,135,0
socioeconomic,5,0
disparity,7,0
pit,12,5
savage,22,8
candour,2,0
devastating,122,3
intensity,121,8
table,26,4
critique,39,6
keenly,18,1
prescient,17,0
wrong,107,50
scathing,35,0
upper,23,1
demonstrates,62,7
euphemism,2,1
downhill,2,3
downpour,4,0
picturesque,8,1
mansion,6,0
flood,9,1
wash,11,1
neighborhood,96,5
guise,12,0
engaging,269,14
riproaring,16,0
latecapitalist,1,0
settling,8,0
trying,148,66
overpowering,15,1
capitalistic,4,0
lowkey,33,0
insists,11,1
stepchange,1,0
dynamic,123,9
relatable,63,0
sweet,294,19
lacking,50,38
selfawareness,14,0
healthy,18,1
dose,35,5
uproarious,16,3
audaciously,5,0
devours,1,0
convention,68,12
transforms,32,2
feverish,12,1
undercurrent,25,1
driving,28,3
described,37,5
engine,32,2
odyssey,40,1
mayhem,68,15
sleightofhand,3,0
approach,168,25
seamlessly,41,0
defying,6,0
alternating,9,0
131minute,2,0
restraint,44,6
conventional,75,11
passing,30,3
classconscious,2,0
subbasementand,1,0
blissfully,11,2
naïve,6,1
wind,49,13
forbecomes,1,0
ready,72,6
laughter,81,15
object,29,3
wait,109,22
spread,19,1
provoke,10,3
discussion,29,0
nailed,5,2
begin,131,51
extremely,146,7
monumental,59,2
historically,9,0
lay,29,4
bare,18,3
lie,130,11
hook,38,4
hitchcock,336,5
achieves,84,9
spade,19,1
inventive,176,3
establishes,31,1
upstairsdownstairs,2,0
razorsharp,23,0
bleakly,5,0
unmistakably,11,1
skewering,6,1
divide,24,0
hoped,32,3
bw,5,1
neednt,6,1
audacious,60,1
jarring,10,3
challenging,67,1
brick,17,2
build,140,15
topple,3,1
metaphorically,5,1
consciousness,22,2
induces,6,0
turning,86,11
international,42,1
worldwide,12,1
classism,1,0
discrimination,7,0
arresting,33,0
realised,27,1
profound,163,10
breathtaking,161,2
accomplishment,67,3
talking,65,18
playful,79,2
sincere,66,4
revelatory,21,1
home,319,38
rip,17,5
newest,14,3
venture,27,3
vinci,1,1
painting,48,5
left,219,99
highest,59,2
convey,46,7
believed,13,8
whilst,17,1
ingeniously,29,0
plus,64,4
faultlessly,3,0
impressively,39,0
finding,169,9
impeccable,67,2
plugging,2,0
disquiet,2,0
havenots,5,0
classwar,1,0
monster,196,22
global,27,1
didactic,5,0
parasitically,1,0
living,123,6
kims,5,0
anticommunist,1,0
ally,4,1
utterly,161,41
poured,7,0
masterclass,42,0
skin,60,4
serpentine,3,0
unclassifiable,1,0
glittering,10,0
hiding,13,3
beguiling,39,1
stokes,1,0
dystopian,13,2
maker,30,19
token,7,1
cell,10,12
phone,14,18
pizza,6,2
dinner,21,1
mobility,3,0
exist,46,13
delivery,31,4
mixing,33,2
twisty,15,0
hitchcockian,9,1
seriousminded,3,0
accessible,77,2
fingerwagging,2,0
admonishment,1,0
taking,165,18
uncomfortable,39,7
outré,2,0
deepen,9,0
reframe,3,0
industrialstrength,3,2
strip,21,1
veneer,6,1
classlessness,1,0
outrageously,23,1
critical,46,6
acclaim,14,2
seeming,25,4
strike,122,17
chord,29,0
joke,152,132
bottom,26,19
feat,116,6
hilarious,259,20
jewel,32,1
box,114,17
absurdist,14,0
analysis,21,2
treatise,17,3
imaginative,169,12
comedythriller,4,0
darkness,62,11
core,123,6
used,139,30
label,13,4
disagree,1,1
redundant,8,6
largely,97,19
root,88,4
allow,36,6
simple,332,18
speaks,79,2
parable,49,2
capitalist,8,3
tightly,37,0
wound,23,5
chamber,8,2
chicly,1,1
hammer,31,3
landing,22,5
miracle,89,3
riotous,14,1
gloriously,45,3
sardonic,22,0
rocambolesque,1,0
architectural,4,0
skeleton,8,0
existential,73,5
horrifying,46,1
nightmarish,22,5
woe,6,2
unto,11,0
collateral,3,2
damage,16,9
gore,29,13
shine,105,8
gold,83,12
staggeringly,7,0
immerses,8,1
unnerves,1,0
maestro,7,0
auteur,29,2
unleashed,7,1
mustsee,111,2
offering,117,9
profoundly,60,7
wonderfully,174,3
thoughtprovoking,97,0
